links,type,state,creation date,updated date,closed date,comment count,user count
https://api.github.com/repos/django/django/issues/9540,pr,closed,2018-01-04T18:39:04Z,2018-01-08T19:36:10Z,2018-01-08T19:36:10Z,0,0
https://api.github.com/repos/angular/angular.js/issues/13823,issue,closed,2016-01-22T14:43:21Z,2020-03-31T14:19:30Z,2016-02-08T14:18:32Z,5,3
https://api.github.com/repos/axios/axios/issues/1167,issue,closed,2017-11-04T08:29:40Z,2020-05-22T13:05:15Z,2017-11-12T03:35:32Z,10,4
https://api.github.com/repos/laravel/framework/issues/6518,pr,closed,2014-11-28T04:44:24Z,2014-11-28T11:46:37Z,2014-11-28T05:10:37Z,4,1
https://api.github.com/repos/yiisoft/yii2/issues/3523,issue,closed,2014-05-21T04:41:51Z,2014-06-13T13:42:11Z,2014-06-13T13:42:11Z,3,1
https://api.github.com/repos/axios/axios/issues/876,issue,closed,2017-04-29T23:58:35Z,2020-05-22T12:45:57Z,2017-08-14T11:23:34Z,15,14
https://api.github.com/repos/github/fetch/issues/738,issue,closed,2019-11-17T19:45:12Z,2019-11-18T14:55:03Z,2019-11-18T14:55:03Z,0,0
https://api.github.com/repos/visionmedia/superagent/issues/1508,issue,closed,2019-09-20T13:52:07Z,2019-09-23T09:31:21Z,2019-09-23T09:31:21Z,3,0
https://api.github.com/repos/axios/axios/issues/1681,issue,closed,2018-07-19T13:28:17Z,2020-05-22T13:39:19Z,2019-02-11T15:22:50Z,3,1
https://api.github.com/repos/eggjs/egg/issues/3558,issue,closed,2019-03-20T10:20:04Z,2020-07-06T12:41:20Z,2019-04-03T16:01:08Z,13,7
https://api.github.com/repos/electron/electron/issues/5836,issue,closed,2016-06-02T13:07:50Z,2016-10-12T06:04:57Z,2016-07-20T11:07:16Z,7,3
https://api.github.com/repos/huginn/huginn/issues/2415,issue,open,2018-11-13T02:54:30Z,2018-11-15T09:11:05Z,,3,1
https://api.github.com/repos/github/fetch/issues/348,issue,closed,2016-06-12T07:14:24Z,2016-06-12T08:06:21Z,2016-06-12T08:06:21Z,1,1
https://api.github.com/repos/axios/axios/issues/2026,issue,closed,2019-03-03T03:44:41Z,2020-05-22T13:33:20Z,2019-03-11T02:49:18Z,5,3
https://api.github.com/repos/bcit-ci/CodeIgniter/issues/5027,issue,closed,2017-02-20T08:05:01Z,2017-02-20T08:08:06Z,2017-02-20T08:08:06Z,1,1
https://api.github.com/repos/puppeteer/puppeteer/issues/5332,issue,open,2020-01-22T06:35:18Z,2020-01-22T10:13:26Z,,0,0
https://api.github.com/repos/PanJiaChen/vue-element-admin/issues/962,issue,closed,2018-08-14T11:22:31Z,2018-10-15T02:22:33Z,2018-08-15T10:10:47Z,4,2
https://api.github.com/repos/puppeteer/puppeteer/issues/3200,issue,closed,2018-09-05T10:43:19Z,2018-09-05T13:05:15Z,2018-09-05T13:05:15Z,1,1
https://api.github.com/repos/blueimp/jQuery-File-Upload/issues/866,issue,closed,2011-12-11T18:27:03Z,2012-09-06T03:24:30Z,2012-09-06T03:24:30Z,4,1
https://api.github.com/repos/matomo-org/matomo/issues/15602,pr,closed,2020-02-20T17:29:04Z,2020-02-22T00:03:42Z,2020-02-22T00:03:38Z,0,0
https://api.github.com/repos/yiisoft/yii2/issues/8016,issue,closed,2015-04-08T03:32:11Z,2015-04-09T09:35:03Z,2015-04-09T09:34:47Z,5,3
https://api.github.com/repos/sqlmapproject/sqlmap/issues/3942,issue,closed,2019-09-26T13:19:05Z,2019-10-02T17:18:39Z,2019-09-30T15:27:39Z,5,1
https://api.github.com/repos/expressjs/express/issues/1894,issue,closed,2014-01-07T02:24:23Z,2014-01-07T08:24:27Z,2014-01-07T03:59:24Z,3,2
https://api.github.com/repos/ant-design/ant-design-pro/issues/6092,issue,closed,2020-03-10T02:39:11Z,2020-04-08T16:12:04Z,2020-04-08T16:11:55Z,3,1
https://api.github.com/repos/tornadoweb/tornado/issues/1096,issue,closed,2014-07-07T11:09:11Z,2014-07-09T02:54:16Z,2014-07-09T02:54:16Z,0,0
https://api.github.com/repos/yiisoft/yii2/issues/541,issue,closed,2013-06-16T01:01:22Z,2013-06-16T01:30:46Z,2013-06-16T01:30:46Z,1,1
https://api.github.com/repos/axios/axios/issues/92,issue,closed,2015-07-24T04:25:35Z,2020-05-21T18:47:39Z,2015-12-14T20:05:50Z,4,3
https://api.github.com/repos/phoenixframework/phoenix/issues/2784,issue,closed,2018-03-05T19:57:10Z,2018-12-26T02:02:28Z,2018-03-05T20:03:08Z,3,2
https://api.github.com/repos/puppeteer/puppeteer/issues/5231,issue,open,2019-12-06T15:53:56Z,2020-02-21T03:56:32Z,,3,2
https://api.github.com/repos/tornadoweb/tornado/issues/876,issue,closed,2013-08-14T00:55:25Z,2020-06-08T12:38:04Z,2013-08-19T03:51:20Z,2,2
https://api.github.com/repos/yiisoft/yii2/issues/4077,issue,closed,2014-06-27T01:27:07Z,2014-09-04T16:21:38Z,2014-09-04T16:21:38Z,3,2
https://api.github.com/repos/freeCodeCamp/freeCodeCamp/issues/35495,issue,closed,2019-03-03T11:51:41Z,2019-03-05T10:27:47Z,2019-03-05T10:27:47Z,1,1
https://api.github.com/repos/facebook/react-native/issues/14076,issue,closed,2017-05-20T10:11:08Z,2018-07-18T23:34:11Z,2017-05-23T04:52:05Z,6,3
https://api.github.com/repos/heartcombo/devise/issues/5228,issue,open,2020-04-29T09:31:46Z,2020-04-29T09:31:46Z,,0,0
https://api.github.com/repos/tornadoweb/tornado/issues/800,issue,closed,2013-05-24T02:34:50Z,2013-05-24T04:49:01Z,2013-05-24T04:49:01Z,0,0
https://api.github.com/repos/tornadoweb/tornado/issues/645,issue,closed,2012-11-28T03:40:45Z,2016-01-23T14:39:22Z,2012-12-02T02:28:17Z,2,1
