id,owner_user_id
"1001073","101823"
"1003847",""
"1005129","113535"
"1005941","124190"
"1013766","30535"
"1013989","125062"
"1018763","53036"
"1019707","123438"
"1019762","91089"
"1020368",""
"1021026","124453"
"1022994","126362"
"1026828","94334"
"1029118","18255"
"1029293","127139"
"1033590","5590"
"1035807","47517"
"1037855","2361"
"1038307","132931"
"1038862","120857"
"1039377",""
"1043621","65223"
"1045139","119535"
"1047243","63775"
"1047545","126908"
"1053556","21677"
"1054022","72136"
"1056492","123908"
"1056547","113988"
"1058961","102401"
"1062254","109826"
"1062642","15173"
"1062784",""
"1063014",""
"1066652",""
"1067965","48886"
"1074831","8047"
"1075245","13198"
"1077438",""
"1079181","57883"
"1080014","51197"
"1086084","108655"
"1088041","84839"
"1088170","133802"
"1089046","8173"
"1092817","28278"
"1093419",""
"1095745","133440"
"1097781","127453"
"1099028",""
"1102429","11995"
"1102781",""
"1103355","6540"
"1103991","133098"
"1113383","6651"
"1113902","3314"
"1116110","48082"
"1116128","5146"
"1117645","40180"
"1118028","71743"
"1120190","1316"
"1122902","111307"
"1127133","110186"
"1128441","69111"
"1131332",""
"1132054","62985"
"1132111","14607"
"1132652","16460"
"1132766","137696"
"1137707",""
"1139632","107074"
"1140487","1644"
"1142788","62830"
"1143417","17091"
"1145132","128081"
"1147220","63235"
"1147308","137468"
"1151450","8707"
"1155553","14395"
"1155746","33371"
"1158097","5722"
"1160146","63235"
"1162152","114446"
"1165979","56952"
"1167641","109086"
"1171207","137967"
"1171474","343"
"1178789","126042"
"1179859","1762"
"1182226","128623"
"1182401","54964"
"1182738","97448"
"1183007","110514"
"1185775","104060"
"1192141","95242"
"1196228","59314"
"1198375","146197"
"1199886","104815"
"1200319","110130"
"1200545","14731"
"1201247","89035"
"1205263","37198"
"1209887","148175"
"1211518","131456"
"1211592","72859"
"1212532","99573"
"1213965","65210"
"1214026","111015"
"1214582","16241"
"1214595","118513"
"1215134","109277"
"1215930","140970"
"1216903","118513"
"1217170","148978"
"1219377","125470"
"1220092","34683"
"1224097","2583"
"1225720","140970"
"1227580","39321"
"1229626","2034"
"1229691","126483"
"1230098","45849"
"1230997","57757"
"1231178","106840"
"1231955","137967"
"1233362",""
"1242529","105169"
"1242667",""
"1243370","3603"
"1243961","121028"
"1246463","9947"
"1248105",""
"1249875",""
"1251857",""
"1254089","55534"
"1255864","44743"
"1257287",""
"1258411","67153"
"1258820","146128"
"1259538","31766"
"1261511","117700"
"1263218","28045"
"1264089",""
"1266117","52622"
"1266367","135844"
"1267416","69032"
"1270755","98565"
"1275532",""
"1275996","118211"
"1276039","156241"
"1276798","133617"
"1285878","53498"
"1288533","157825"
"1291634","157939"
"1294360","157939"
"1294407","33226"
"1295319","157939"
"1299876","133098"
"1301080",""
"1301117",""
"1306823",""
"1307495","80907"
"1314591",""
"1314978","161036"
"1316904","48067"
"1319603","123663"
"1321042","97010"
"1321669","66554"
"1321821","13370"
"1323925","133221"
"1328361","76777"
"1329833","38087"
"1330612","47545"
"1331081","52529"
"1332973","142668"
"1333577","28835"
"1333617","11063"
"1335880","388411"
"1340855","113331"
"1342190",""
"1343223","4012"
"1347098","80858"
"1348670","6068"
"1349130","102781"
"1349397","1174"
"1350331","110432"
"1354039","93652"
"1356690","160103"
"1356899","163324"
"1357553",""
"1357846","781"
"1358617","1162133"
"1358710","62918"
"1359080","155293"
"1365254","34813"
"1366727","30958"
"1366922","12002"
"1368164",""
"1370358","73948"
"1372307","458681"
"1374288",""
"1382723","65359"
"1387135","73948"
"1387258",""
"1389670","6200"
"1392023","161433"
"1393436","5633"
"1395278","143838"
"1396695","170497"
"1399278","148510"
"1400481","60118"
"1400708","81975"
"1406063","64226"
"1406293","162668"
"1406440","2361"
"1407932","84839"
"1409601","426996"
"1413320","161619"
"1416060","168202"
"1416092","156814"
"1417893","168530"
"1420499","101495"
"1422391",""
"1426025","128735"
"1427863","10245"
"1429332","153383"
"1432545","161746"
"1435753",""
"1436069","51882"
"1439430","62623"
"1441411","122528"
"1441863","125799"
"1441990","147592"
"1444153","5017"
"1450213",""
"1453649",""
